Latest: Wavelength (nm),Latest: Intensity (rel)
400,0.015712512
400.8,0.015425133
401.6,0.015164034
402.5,0.014972449
403.3,0.014854615
404.2,0.015371727
405,0.016144003
405.9,0.016822182
406.7,0.016923061
407.6,0.016867959
408.4,0.016967142
409.3,0.016667896
410.1,0.016060078
411,0.015776939
411.8,0.016258445
412.7,0.016842527
413.5,0.017390156
414.3,0.017444411
415.2,0.018062401
416,0.017808932
416.9,0.018268398
417.7,0.018879606
418.6,0.019044912
419.4,0.019266168
420.3,0.019228021
421.1,0.02030802
422,0.020291066
422.8,0.020688648
423.7,0.020611505
424.5,0.02102689
425.4,0.021048931
426.2,0.020672541
427,0.020645414
427.9,0.020903122
428.7,0.021450752
429.6,0.021694896
430.4,0.022217093
431.3,0.022489213
432.1,0.023228428
433,0.022611285
433.8,0.023052949
434.7,0.022934268
435.5,0.023536151
436.4,0.024173639
437.2,0.02496287
438.1,0.024829777
438.9,0.024503404
439.7,0.024278757
440.6,0.024681426
441.4,0.024822148
442.3,0.024634801
443.1,0.024845884
444,0.025060358
444.8,0.02487725
445.7,0.024165162
446.5,0.02365568
447.4,0.023879479
448.2,0.024233828
449.1,0.024388113
449.9,0.02446017
450.7,0.024082085
451.6,0.023550562
452.4,0.023351347
453.3,0.023694675
454.1,0.023678569
455,0.023745539
455.8,0.023751473
456.7,0.024249934
457.5,0.023689589
458.4,0.023261489
459.2,0.02247904
460.1,0.022073828
460.9,0.021766952
461.8,0.022345947
462.6,0.022068742
463.4,0.022370531
464.3,0.021215932
465.1,0.022079762
466,0.021213389
466.8,0.021531285
467.7,0.020775964
468.5,0.021340547
469.4,0.021621144
470.2,0.02168981
471.1,0.021412604
471.9,0.020631003
472.8,0.020189339
473.6,0.019943499
474.5,0.020380077
475.3,0.020258005
476.1,0.020344472
477,0.020344472
477.8,0.020275807
478.7,0.020257157
479.5,0.019924002
480.4,0.020402965
481.2,0.020342777
482.1,0.019877377
482.9,0.019458601
483.8,0.020015556
484.6,0.020681866
485.5,0.020690344
486.3,0.019791757
487.2,0.019589151
488,0.01957813
488.8,0.020632698
489.7,0.021154896
490.5,0.022034833
491.4,0.021770343
492.2,0.022065351
493.1,0.022008554
493.9,0.022141646
494.8,0.021811034
495.6,0.021716089
496.5,0.021675398
497.3,0.021796623
498.2,0.02185342
499,0.021589778
499.9,0.021707612
500.7,0.022242525
501.5,0.022742682
502.4,0.02320893
503.2,0.023145351
504.1,0.023169935
504.9,0.023041081
505.8,0.023100421
506.6,0.023881175
507.5,0.023723498
508.3,0.024114299
509.2,0.023879479
510,0.024672948
510.9,0.024126167
511.7,0.023805727
512.5,0.02332422
513.3,0.023682807
514.1,0.023865068
514.9,0.023849809
515.7,0.024033765
516.5,0.024133796
517.3,0.024340641
518,0.024445758
518.8,0.024293168
519.6,0.02421433
520.4,0.023997313
521.2,0.02400579
522,0.023921018
522.8,0.023564126
523.6,0.023918474
524.3,0.023891347
525.1,0.023750625
525.9,0.023073294
526.7,0.023338632
527.5,0.02340984
528.3,0.023971881
529.1,0.023962556
529.9,0.023814204
530.6,0.023816748
531.4,0.023485288
532.2,0.023328459
533,0.022689275
533.8,0.022325602
534.6,0.022820673
535.4,0.023053797
536.2,0.023960861
536.9,0.023881175
537.7,0.024249934
538.5,0.023430186
539.3,0.023820139
540.1,0.023667548
540.9,0.023965099
541.7,0.023923561
542.5,0.023729432
543.2,0.024226198
544,0.024268584
544.8,0.024976433
545.6,0.024891661
546.4,0.025123937
547.2,0.025021363
548,0.025119699
548.8,0.024841645
549.5,0.024647517
550.3,0.024068521
551.1,0.023917627
551.9,0.023865068
552.7,0.023836245
553.5,0.024194832
554.3,0.024483058
555.1,0.025121394
555.8,0.024507642
556.6,0.024003247
557.4,0.024156685
558.2,0.024438129
559,0.024505947
559.8,0.023826073
560.6,0.023731975
561.4,0.023821834
562.1,0.024082085
562.9,0.024146512
563.7,0.024103278
564.5,0.02375995
565.3,0.023402211
566.1,0.023003781
566.9,0.022593483
567.7,0.022371379
568.4,0.02284017
569.2,0.023006324
570,0.022707925
570.8,0.022146732
571.6,0.021931411
572.4,0.02222218
573.2,0.022198444
574,0.022161144
574.7,0.022238287
575.5,0.022353577
576.3,0.022573137
577.1,0.022294236
577.9,0.021683028
578.7,0.021438883
579.5,0.021325288
580.3,0.02194667
581,0.021955147
581.8,0.022599417
582.6,0.021870375
583.4,0.022197596
584.2,0.022011097
585,0.022156905
585.8,0.022034833
586.6,0.021975492
587.3,0.022339166
588.1,0.022996999
588.9,0.023013954
589.6,0.023537847
590.4,0.02224083
591.1,0.021718632
591.9,0.021508397
592.6,0.022097564
593.4,0.022694362
594.1,0.022490908
594.9,0.022699448
595.6,0.022824911
596.3,0.022892729
597.1,0.022720641
597.8,0.022779982
598.6,0.022657062
599.3,0.023064817
600.1,0.023086858
600.8,0.02311568
601.6,0.023127548
602.3,0.022729118
603.1,0.022560421
603.8,0.022134017
604.6,0.022000924
605.3,0.02214758
606.1,0.022038224
606.8,0.022106042
607.6,0.022298475
608.3,0.022305257
609.1,0.021802557
609.8,0.021427863
610.6,0.021924629
611.3,0.022728271
612,0.022464629
612.8,0.021204912
613.5,0.020551317
614.3,0.020977722
615,0.021191348
615.8,0.02100824
616.5,0.020579292
617.3,0.020235964
618,0.020408052
618.8,0.020056246
619.5,0.020672541
620.3,0.020138476
621,0.019890093
621.8,0.019754457
622.5,0.019542526
623.3,0.019237346
624,0.018404881
624.8,0.018509151
625.5,0.018362495
626.3,0.018471851
627,0.018539669
627.7,0.019094928
628.5,0.019458601
629.2,0.019144944
630,0.018728712
630.7,0.018400643
631.5,0.018605792
632.2,0.018789748
633,0.018600705
633.7,0.018169214
634.5,0.018528649
635.2,0.018404033
636,0.018789748
636.7,0.018084442
637.5,0.01842014
638.2,0.018279418
639,0.018798225
639.7,0.018119198
640.5,0.018217534
641.2,0.017768241
642,0.018058162
642.7,0.018134457
643.4,0.017825038
644.2,0.018172605
644.9,0.018041208
645.7,0.018555776
646.4,0.01883722
647.2,0.018606639
647.9,0.018338759
648.7,0.017619889
649.4,0.01761226
650.2,0.017817409
650.9,0.017644473
651.7,0.017631757
652.4,0.017112951
653.2,0.017581742
653.9,0.018194646
654.7,0.0178581
655.4,0.017614803
656.2,0.01706124
656.9,0.017513924
657.7,0.017002747
658.4,0.016797598
659.1,0.01690102
659.9,0.017653798
660.6,0.017597848
661.4,0.017841993
662.1,0.017851318
662.9,0.017801302
663.6,0.017341836
664.4,0.016544128
665.1,0.01679675
665.9,0.016955274
666.6,0.017010376
667.4,0.016903563
668.1,0.016686546
668.9,0.01633135
669.7,0.016150785
670.4,0.016361868
671.2,0.016851852
672,0.017185007
672.7,0.017084128
673.5,0.017137535
674.2,0.016904411
675,0.017112103
675.8,0.016812857
676.5,0.016718759
677.3,0.016265227
678.1,0.016445792
678.8,0.016164348
679.6,0.015811695
680.4,0.015747268
681.1,0.016514458
681.9,0.017349466
682.7,0.017574112
683.4,0.01708328
684.2,0.016362715
685,0.016234709
685.7,0.016338979
686.5,0.016272857
687.2,0.016007519
688,0.016114332
688.8,0.015807457
689.5,0.015751507
690.3,0.0156608
691.1,0.016329654
691.8,0.016677221
692.6,0.017018853
693.4,0.016443249
694.1,0.015892229
694.9,0.015456499
695.7,0.015695557
696.4,0.016147394
697.2,0.016303375
698,0.016205039
698.7,0.016294898
699.5,0.01602956
