W,I
400,0.016483375
400.8,0.016561648
401.6,0.016381648
402.5,0.016401711
403.3,0.016243186
404.2,0.016030125
405,0.016110094
405.9,0.016734866
406.7,0.017221742
407.6,0.017338728
408.4,0.017267519
409.3,0.017246326
410.1,0.017106451
411,0.016893108
411.8,0.016594427
412.7,0.016700957
413.5,0.016391821
414.3,0.016861459
415.2,0.016839701
416,0.017535117
416.9,0.017399199
417.7,0.017911506
418.6,0.017600957
419.4,0.017713704
420.3,0.017466734
421.1,0.017651538
422,0.017700988
422.8,0.017778131
423.7,0.017850753
424.5,0.017981302
425.4,0.017699293
426.2,0.017613955
427,0.01773518
427.9,0.018498131
428.7,0.018764033
429.6,0.018810376
430.4,0.018543625
431.3,0.018722495
432.1,0.018965509
433,0.019095776
433.8,0.019132793
434.7,0.018813766
435.5,0.019135619
436.4,0.019531223
437.2,0.01962306
438.1,0.019373264
438.9,0.019168963
439.7,0.019344159
440.6,0.019191286
441.4,0.019330595
442.3,0.019327769
443.1,0.019749371
444,0.019345854
444.8,0.019243562
445.7,0.018754426
446.5,0.018999135
447.4,0.018997157
448.2,0.019326922
449.1,0.019114708
449.9,0.019532919
450.7,0.019605258
451.6,0.019767173
452.4,0.019548178
453.3,0.019219261
454.1,0.019395305
455,0.019653013
455.8,0.020109653
456.7,0.020381772
457.5,0.020522212
458.4,0.020678193
459.2,0.019769999
460.1,0.019296686
460.9,0.019107926
461.8,0.019541961
462.6,0.019340768
463.4,0.019632385
464.3,0.019880203
465.1,0.019860422
466,0.019258256
466.8,0.019405195
467.7,0.019710658
468.5,0.020241898
469.4,0.020060485
470.2,0.020251788
471.1,0.020049182
471.9,0.020284567
472.8,0.020721709
473.6,0.021067581
474.5,0.021102902
475.3,0.02093251
476.1,0.020776529
477,0.021385759
477.8,0.021831379
478.7,0.022643781
479.5,0.022503624
480.4,0.022642368
481.2,0.022463216
482.1,0.022763027
482.9,0.022796654
483.8,0.023673765
484.6,0.023905759
485.5,0.024010029
486.3,0.024162336
487.2,0.024537313
488,0.025049055
488.8,0.025576339
489.7,0.026536527
490.5,0.027098568
491.4,0.027073984
492.2,0.026756087
493.1,0.027131346
493.9,0.027433701
494.8,0.028120357
495.6,0.028738912
496.5,0.029222397
497.3,0.029669713
498.2,0.0299229
499,0.03039056
499.9,0.030794077
500.7,0.031401047
501.5,0.031573982
502.4,0.031811627
503.2,0.032036274
504.1,0.032883432
504.9,0.033728895
505.8,0.034318063
506.6,0.034594421
507.5,0.034754923
508.3,0.034957246
509.2,0.035262427
510,0.035691658
510.9,0.036331124
511.7,0.036515645
512.5,0.036670213
513.3,0.036299193
514.1,0.036528078
514.9,0.036658345
515.7,0.037183086
516.5,0.037234232
517.3,0.036901924
518,0.03654475
518.8,0.036005598
519.6,0.035765975
520.4,0.035771626
521.2,0.035783777
522,0.035952756
522.8,0.035850464
523.6,0.035736022
524.3,0.035354546
525.1,0.034976462
525.9,0.034862301
526.7,0.035122553
527.5,0.034810308
528.3,0.034806634
529.1,0.034436744
529.9,0.034194578
530.6,0.033780889
531.4,0.033719005
532.2,0.033816211
533,0.034366666
533.8,0.034108675
534.6,0.034591878
535.4,0.034575488
536.2,0.035534264
536.9,0.035785755
537.7,0.035606885
538.5,0.035812599
539.3,0.036060982
540.1,0.036749334
540.9,0.036855864
541.7,0.03720004
542.5,0.037459726
543.2,0.037636053
544,0.037765189
544.8,0.038510903
545.6,0.038943242
546.4,0.039512912
547.2,0.039348736
548,0.039917276
548.8,0.039951468
549.5,0.040633603
550.3,0.040738155
551.1,0.041017056
551.9,0.040774607
552.7,0.040468014
553.5,0.040726287
554.3,0.041092504
555.1,0.040809647
555.8,0.040469427
556.6,0.039783901
557.4,0.040163399
558.2,0.039785314
559,0.039302959
559.8,0.038387136
560.6,0.037745409
561.4,0.037765754
562.1,0.037614859
562.9,0.037525566
563.7,0.036830998
564.5,0.036300888
565.3,0.035781516
566.1,0.035748455
566.9,0.035370088
567.7,0.035194326
568.4,0.034915708
569.2,0.034786289
570,0.034169429
570.8,0.033484468
571.6,0.033237781
572.4,0.033471752
573.2,0.03378654
574,0.033864531
574.7,0.033770716
575.5,0.033836274
576.3,0.033419759
577.1,0.032909147
577.9,0.032146196
578.7,0.032122742
579.5,0.032010277
580.3,0.032525976
581,0.032321674
581.8,0.033137749
582.6,0.032495175
583.4,0.032560732
584.2,0.032137436
585,0.032523432
585.8,0.032487546
586.6,0.032007169
587.3,0.032064532
588.1,0.032465505
588.9,0.032910842
589.6,0.032946729
590.4,0.032559319
591.1,0.032396274
591.9,0.032608205
592.6,0.032856023
593.4,0.033111753
594.1,0.03297753
594.9,0.0331872
595.6,0.033254735
596.3,0.033122773
597.1,0.033309555
597.8,0.033344029
598.6,0.033913416
599.3,0.033922741
600.1,0.034268612
600.8,0.033804908
601.6,0.033562459
602.3,0.033161486
603.1,0.033195395
603.8,0.033125881
604.6,0.03313888
605.3,0.032845002
606.1,0.033051564
606.8,0.032975269
607.6,0.033050716
608.3,0.032201015
609.1,0.031821517
609.8,0.031381832
610.6,0.031394265
611.3,0.031248739
612,0.030896934
612.8,0.030598818
613.5,0.030153763
614.3,0.030238253
615,0.029461173
615.8,0.028897437
616.5,0.028250624
617.3,0.028551
618,0.028334266
618.8,0.028139855
619.5,0.027393293
620.3,0.026789996
621,0.026303403
621.8,0.026384502
622.5,0.026432822
623.3,0.026179918
624,0.025690782
624.8,0.025575209
625.5,0.025831221
626.3,0.025928709
627,0.025730907
627.7,0.025019667
628.5,0.024805758
629.2,0.024555397
630,0.024524879
630.7,0.024529118
631.5,0.024536182
632.2,0.024500295
633,0.024285821
633.7,0.024291473
634.5,0.024611347
635.2,0.024576873
636,0.024618129
636.7,0.024240609
637.5,0.023945319
638.2,0.023700044
639,0.023946449
639.7,0.023669526
640.5,0.023618663
641.2,0.023297658
642,0.023393168
642.7,0.023442054
643.4,0.023206104
644.2,0.023247077
644.9,0.022755398
645.7,0.0229159
646.4,0.023005194
647.2,0.023210625
647.9,0.023249338
648.7,0.023218255
649.4,0.023091944
650.2,0.022864472
650.9,0.022889903
651.7,0.022922965
652.4,0.022774048
653.2,0.022522839
653.9,0.022655084
654.7,0.022699448
655.4,0.022209181
656.2,0.022015618
656.9,0.022005163
657.7,0.022309213
658.4,0.022150123
659.1,0.022018726
659.9,0.022126105
660.6,0.022101521
661.4,0.022096434
662.1,0.021854268
662.9,0.021736999
663.6,0.02148466
664.4,0.021224127
665.1,0.021112792
665.9,0.021169025
666.6,0.021296183
667.4,0.021139072
668.1,0.020726796
668.9,0.020383468
669.7,0.020322432
670.4,0.020305477
671.2,0.020378381
672,0.020128303
672.7,0.020215053
673.5,0.02023992
674.2,0.020780485
675,0.020929684
675.8,0.020666325
676.5,0.02010711
677.3,0.019759261
678.1,0.019744849
678.8,0.019147204
679.6,0.019097471
680.4,0.019234802
681.1,0.019873703
681.9,0.019681835
682.7,0.019612039
683.4,0.019741458
684.2,0.019614865
685,0.019535462
685.7,0.01893047
686.5,0.018807267
687.2,0.018830438
688,0.019273798
688.8,0.019095211
689.5,0.018593358
690.3,0.018151129
691.1,0.018333672
691.8,0.018367864
692.6,0.018288743
693.4,0.017799607
694.1,0.017405133
694.9,0.017668492
695.7,0.017727833
696.4,0.017799324
697.2,0.017311601
698,0.017025918
698.7,0.01747945
699.5,0.017467016
